continent;country;cases;deaths;population_19;cum_covid_cases;deaths_x100k;cases_x100k;pol_total;pol_cities;pol_urban;pol_rural;pol_towns;tob_ad_ban;tob_anti;tob_help_quit;tob_monitor;tob_smoke_protect;tob_tax;tob_warns;nulos
Africa;Botswana;12501;37;2303703;28,024091505;1,606109815;542,648075729;12,820000000;14,780000000;14,42;12,510000000;13,900000000;4;4;4;2;2;4;2;0
Asia;Indonesia;617820;18819;270625567;9,063562787;6,953888433;228,293286125;19,340000000;21,29;19,930000000;18,450000000;17,740000000;2;5;4;4;3;4;4;0
Europe;Albania;48530;1003;2862427;78,980962241;35,040194912;1695,414415809;16,280000000;16,700000000;16,580000000;15,65;16,4;5;2;4;2;5;4;4;0
Europe;Switzerland;372329;5378;8544527;170,702046966;62,940874316;4357,514465107;8,970000000;9,870000000;9,25;7,790000000;8,810000000;2;2;4;4;2;4;4;0
America;Costa Rica;150947;1895;5047561;150,206668809;37,542884573;2990,493824641;14,700000000;15,46;15,06;13,870000000;14,23;4;5;5;4;5;4;5;0
America;Antigua and Barbuda;148;4;97115;7,929144938;4,118828193;152,396643155;8,300000000;;8,420000000;8,120000000;8,420000000;5;4;2;2;5;2;4;1
Asia;Kyrgyzstan;77674;1312;6415851;63,828107590;20,449352705;1210,657791149;37,580000000;38,770000000;39,650000000;36,190000000;40,94;4;2;4;2;3;4;5;0
Africa;Comoros;628;7;850891;4,693815346;0,822667063;73,804987948;14,370000000;14,71;14,490000000;14,02;14,380000000;2;2;3;2;3;4;3;0
Asia;Mongolia;912;0;3225166;1,432223051;0;28,277614238;41,300000000;58,210000000;50,620000000;37,900000000;35,040000000;5;2;4;4;3;3;5;0
Africa;Mozambique;16954;142;30366043;2,952064570;0,467627606;55,832101667;16,450000000;18,520000000;17,510000000;15,990000000;16,170000000;4;2;4;2;2;3;2;0
Asia;Cambodia;359;0;16486542;0,089633344;0;2,177533651;17,800000000;19,800000000;18,350000000;17,43;17,300000000;4;3;4;4;5;3;5;0
Africa;Niger;2258;80;23310719;0,440951918;0,343189757;9,686530905;50,150000000;59,530000000;55,520000000;48,670000000;50,75;5;2;2;1;3;3;5;0
Europe;Malta;11101;166;493559;110,589803028;33,633263703;2249,173857634;12,930000000;13,08;12,94;9,310000000;12,21;4;2;4;4;5;5;5;0
Asia;Lebanon;146520;1200;6855709;84,213499033;17,503660088;2137,196896776;24,230000000;24,610000000;24,360000000;22,79;23,770000000;4;2;4;4;5;2;3;0
America;Argentina;1498160;40766;44780675;169,531611571;91,034804634;3345,550284805;12,04;11,07;11,23;12,850000000;11,970000000;4;2;4;3;5;5;5;0
Africa;Eritrea;711;0;3497117;0,986470833;0;20,331032676;22,740000000;24,630000000;24,04;22,480000000;23,550000000;5;2;2;1;2;1;3;0
Africa;Angola;16188;371;31825299;2,699702005;1,165739244;50,865193757;27,160000000;33,190000000;32,320000000;23,350000000;28,430000000;4;5;4;1;3;2;2;0
Africa;Ethiopia;116769;1806;112078727;5,388214148;1,611367338;104,184802170;21,800000000;23,5;22,940000000;20,870000000;22,230000000;5;5;4;2;5;4;5;0
America;Venezuela;107177;949;28515829;19,697589835;3,327976192;375,850900214;16,21;16,700000000;16,550000000;15,930000000;16,120000000;5;2;4;2;5;4;5;0
Europe;Monaco;668;2;33085;83,495890539;6,045035515;2019,041861871;9,210000000;9,210000000;9,210000000;;;2;5;4;2;2;1;2;1
Europe;Germany;1337078;21975;83019213;60,000400791;26,469776340;1610,564532815;10,73;11,92;11,150000000;9,720000000;10,550000000;4;5;4;4;2;4;5;0
